blomen_essential,gene
FALSE,Slc6a1
FALSE,Nrg1
FALSE,Lrp8
FALSE,Gatad1
FALSE,Cacna1d
TRUE,Kit
FALSE,Appl1
TRUE,Dyrk1a
FALSE,Braf
FALSE,Dpysl5
FALSE,Rab28
FALSE,Ski
FALSE,Gprasp2
FALSE,Auts2
FALSE,Kcnb1
FALSE,Nrg2
FALSE,Htr6
FALSE,Usf1
FALSE,Eda
FALSE,Ndufs2
FALSE,Synj1
FALSE,Ifnar2
FALSE,Ifngr2
TRUE,Son
FALSE,Sv2a
TRUE,Snf8
FALSE,Hlcs
FALSE,Atp13a2
TRUE,Psmb4
FALSE,Ubr1
FALSE,Amfr
FALSE,Ctbp1
FALSE,Agrp
FALSE,Npr2
FALSE,Tnfrsf13c
FALSE,Calm3
FALSE,Nr2f6
FALSE,Kalrn
FALSE,Trappc10
FALSE,Itgb2
FALSE,Taok1
FALSE,Cd3g
TRUE,Adar
FALSE,Il6ra
FALSE,Chrnb2
FALSE,Sqstm1
FALSE,Ap2m1
FALSE,Ikzf3
FALSE,Acox1
FALSE,Sstr5
FALSE,Tbc1d24
TRUE,Stx5a
FALSE,Lrp5
FALSE,Prkaa2
FALSE,Il23r
FALSE,Nfia
FALSE,Dnajb4
FALSE,Gfi1
FALSE,Kcnt2
FALSE,Igsf8
FALSE,Ddr2
FALSE,Lmx1a
FALSE,Flvcr1
FALSE,Wdr26
FALSE,Rel
FALSE,Pex13
FALSE,Lrrtm1
FALSE,Neurod1
FALSE,En1
FALSE,Bbs5
FALSE,Smarcad1
FALSE,Gabrb1
FALSE,Antxr2
FALSE,Cckar
TRUE,Atp1a1
FALSE,Tgfbr2
TRUE,Stt3b
FALSE,Serpini1
FALSE,Suclg1
FALSE,Icos
FALSE,Wdfy3
FALSE,Atxn7
FALSE,Hesx1
FALSE,Apbb2
FALSE,Lztfl1
TRUE,Zfp148
TRUE,Yeats2
FALSE,Grik3
FALSE,Rho
TRUE,Bap1
FALSE,Lrpap1
FALSE,Aimp1
FALSE,Bsn
FALSE,Pitx2
FALSE,Npy1r
FALSE,Npy5r
TRUE,Naa15
FALSE,Itga2
FALSE,Ndufaf2
TRUE,Nipbl
FALSE,Slc25a46
FALSE,Ndufs4
FALSE,Htr4
FALSE,Ebf1
FALSE,Tlr3
FALSE,Gfm2
TRUE,Uqcrq
FALSE,Grik2
FALSE,Tlx3
FALSE,Crebrf
TRUE,Pdss2
FALSE,Il31ra
FALSE,Hcn1
TRUE,Cog5
FALSE,Rp9
TRUE,Caml
FALSE,Ctsb
FALSE,Sox17
